cino,date,from_court_no,from_judge,to_court_no,to_judge
BRRO210008462019,2022-08-23,4,Succ. of J.M 1st Class,8,J.M. 1ST CLASS -CUM- A.M.-1
BRRO010027282018,2018-04-17,1,DISTRICT AND SESSIONS JUDGE,3,ADDITIONAL DISTRICT AND SESSIONS JUDGE-I
BRRO020018662018,2020-02-29,7,C.J.M. -cum- Sub-Judge-II,24,SUB JUDGE-V -cum- A.C.J.M.
BRRO210005362015,2019-06-13,5,"J.M 2nd Class,",3,J.M 1st Class
BRRO210005362015,2021-11-03,3,J.M 1st Class,8,JM 2 Class
BRVA010051302018,2018-12-19,1,District and Sessions Judge,9,A.D.J 3rd
BRVA020040072022,2022-09-22,28,Vandana J.M 1st Class,10,A.C.J.M 9th
BRVA020043232022,2022-11-05,1,C.J.M,31,Mukesh K J.M 1st Class
BRVA020085222019,2019-10-15,1,C.J.M,2,A.C.J.M 1st
BRVA020022312016,2019-12-16,18,S.D.J.M.,3,A.C.J.M 2nd
BRVA020022312016,2020-12-15,3,A.C.J.M 2nd,17,A.C.J.M 16th
BRVA020022312016,2022-04-21,17,A.C.J.M 16th,30,J.M.S.C -1
BRVA020009452016,2020-03-12,1,C.J.M,26,S Swetanki J.M 1st Class
BRVA020009452016,2021-04-08,26,S Swetanki J.M 1st Class,1,C.J.M
BRVA020027902016,2019-09-02,1,C.J.M,14,A.C.J.M 13th
BRVA020027902016,2020-02-19,14,A.C.J.M 13th,29,Priti R J.M 1st Class
BRVA020027902016,2022-07-21,29,Priti R J.M 1st Class,32,Swati S J.M 1st Class
BRVA020027892016,2019-09-02,1,C.J.M,14,A.C.J.M 13th
BRVA020027892016,2020-02-07,14,A.C.J.M 13th,29,Priti R J.M 1st Class
BRVA020027892016,2022-08-20,29,Priti R J.M 1st Class,32,Swati S J.M 1st Class
BRVA020027872016,2019-09-02,1,C.J.M,5,A.C.J.M 4th
BRVA020027872016,2020-09-09,5,A.C.J.M 4th,15,A.C.J.M 14th
BRVA020027872016,2020-12-15,15,A.C.J.M 14th,4,A.C.J.M 3rd
BRVA020027872016,2021-03-09,4,CJM Division,NA,DJ Division
BRVA010037032021,2021-04-20,1,District and Sessions Judge,15,A.D.J 10th
BRVA010037032021,2022-03-23,15,A.D.J 10th,18,A.D.J 13th
BRSW020078622015,2020-03-19,NA,NA,34,Judicial Magistarate First Class
BRSW020044892019,2019-11-05,6,CJM,50,Judicial Magistarate First Class
BRRO020042682018,2021-02-01,7,C.J.M. -cum- Sub-Judge-II,16,Sub-Judge-VI -cum A.C.J.M.
BRRO020021292016,2018-09-12,18,Sub-Judge-IX -cum-A.C.J.M.,39,ACJM VII -CUM- SUB JUDGE XV
BRRO020021292016,2018-11-15,39,ACJM VII -CUM- SUB JUDGE XV,37,J M. 1st Class
BRRO010045012018,2018-06-22,1,DISTRICT AND SESSIONS JUDGE,3,ADDITIONAL DISTRICT AND SESSIONS JUDGE-I
BRRO020012792015,2015-08-03,7,C J M DIVISION SASARAM,NA,NA
