cino,date,from_court_no,from_judge,to_court_no,to_judge
BRSW020102752017,2023-01-10,6,Chief Judicial Magistrate-Cum-Addl Civil Judge ( Sr. Division)-I,35,Civil Judge ( Sr. Division)
BRSW020078602015,2020-03-19,NA,NA,34,Judicial Magistarate First Class
BRSW020066042018,2020-06-30,NA,NA,48,Judicial Magistarate First Class
BRSW020066042018,2021-02-18,48,Judicial Magistarate First Class,38,Addl. Civil Judge ( Sr.Division)-IV-Cum-ACJM-VII
BRSW020004782017,2017-02-24,6,CJM,14,SDJM
BRRO010062652019,2019-09-26,1,DISTRICT AND SESSIONS JUDGE,32,SPL. JUDGE EXCISE CASE.-02
BRRO010062652019,2019-12-18,32,SPL. JUDGE EXCISE CASE.-02,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV
BRRO010062652019,2022-10-11,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV,23,ADDITIONAL DISTRICT AND SESSIONS JUDGE-IX
BRRO020032512018,2019-04-30,17,Sub-Judge-VIII -cum-A.C.J.M,38,A.C.J.M-VI -cum SUBJUDGE-XIV
BRRO020032512018,2020-06-11,38,A.C.J.M-VI -cum SUBJUDGE-XIV,17,Sub-Judge-VIII -cum-A.C.J.M
BRRO020032512018,2021-03-10,17,Sub-Judge-VIII -cum-A.C.J.M,7,C.J.M. -cum- Sub-Judge-II
BRRO020032512018,2021-07-27,7,C.J.M. -cum- Sub-Judge-II,41,J.M.III
BRRO020032512018,2022-04-01,41,J.M.III,14,S.D.J.M.
BRRO020032512018,2022-08-23,14,S.D.J.M.,8,SUB JUDGE-I -CUM- A.C.J.M-I
BRRO020031262020,2022-03-15,7,C.J.M. -cum- Sub-Judge-II,22,SUB JUDGE-VII -cum- A.C.J.M.
BRRO020031262020,2022-10-18,22,SUB JUDGE-VII -cum- A.C.J.M.,37,J M. 1st Class
BRRO020031262020,2022-11-09,37,J M. 1st Class,22,SUB JUDGE-VII -cum- A.C.J.M.
BRRO020031262020,2022-11-09,22,SUB JUDGE-VII -cum- A.C.J.M.,43,JM-V
BRRO020005782021,2021-07-27,7,C.J.M. -cum- Sub-Judge-II,42,JM-IV
BRRO020005782021,2022-07-28,42,JM-IV,18,Sub-Judge-IX -cum-A.C.J.M.
BRRO210000432016,2018-10-15,1,SDJM,5,"J.M 2nd Class,"
BRRO210000432016,2019-06-13,5,"J.M 2nd Class,",3,J.M 1st Class
BRRO210000432016,2021-11-15,3,J.M 1st Class,8,JM 2 Class
BRRO010004262015,2015-03-10,1,DISTRICT AND SESSIONS JUDGE,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII
BRRO010058092019,2019-10-04,1,DISTRICT AND SESSIONS JUDGE,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV
BRRO020088412016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO020088412016,2020-01-03,34,A.C.J.M.-V -cum- Sub Judge-XIII,23,Sub-Judge-IV -cum- A.C.J.M.
BRRO010088542022,2022-11-14,1,DISTRICT AND SESSIONS JUDGE,28,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XI
BRRO010021842018,2018-03-24,1,DISTRICT AND SESSIONS JUDGE,5,ADDITIONAL DISTRICT AND SESSIONS JUDGE-III
BRRO020035152016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO020098612016,2017-04-27,28,J.M. 1st Class  (vacant court),19,A.C.J.M -II -cum-Sub-Judge-X
BRRO020017712022,2022-09-30,7,C.J.M. -cum- Sub-Judge-II,47,Himshikha Mishra J.M. 1st Class
BRRO210013332019,2020-08-29,1,SDJM,2,MUNSIF -CUM- J.M. 1ST CLASS
BRRO210013332019,2022-09-13,2,Succ. of J.M 1st Class,6,J.M. 1ST CLASS -CUM- A.M.-1
BRSR010064252015,2015-11-07,1,District Judge,16,A.D.J 9
BRSR020114712015,2017-04-01,NA,NA,39,ACJM-5
BRSR020114712015,2019-01-29,39,ACJM-5,36,JM 1st No-11
BRSR020114712015,2021-03-18,36,JM 1st No-11,40,ACJM-6
BRSR020114712015,2021-03-18,40,ACJM-6,43,ACJM-9
BRSR010037382018,2018-03-23,1,District Judge,4,A.D.J 11
BRRO020019582016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO010026922020,2020-07-09,1,DISTRICT AND SESSIONS JUDGE,34,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XVII
BRRO010026922020,2021-12-02,34,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XVII,3,ADDITIONAL DISTRICT AND SESSIONS JUDGE-I
BRRO020018362016,2017-02-17,25,JM-1 cum AM-I Vacant Court of Kumari Jyotsna,32,A.C.J.M.-IV-cum- Sub Judge-XII
BRRO020018362016,2022-07-25,32,A.C.J.M.-IV-cum- Sub Judge-XII,43,JM-V
BRRO010027412018,2021-11-27,3,ADDITIONAL DISTRICT AND SESSIONS JUDGE-I,34,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XVII
BRRO020081582016,2016-10-20,28,J.M. 1st Class  (vacant court),19,A.C.J.M -II -cum-Sub-Judge-X
BRRO020075732016,2016-11-11,28,J.M. 1st Class  (vacant court),26,J.M. -cum- A.M.-II
BRRO020075732016,2017-02-23,26,J.M. -cum- A.M.-II,23,Sub-Judge-IV -cum- A.C.J.M.
BRRO020070532016,2016-11-20,28,J.M. 1st Class  (vacant court),19,A.C.J.M -II -cum-Sub-Judge-X
BRRO020021412016,2016-10-19,18,Sub-Judge-IX -cum-A.C.J.M.,21,A.C.J.M. -III -cum- Sub Judge-XI
BRRO020021412016,2017-09-11,21,A.C.J.M. -III -cum- Sub Judge-XI,18,Sub-Judge-IX -cum-A.C.J.M.
BRRO010004272015,2015-03-10,1,DISTRICT AND SESSIONS JUDGE,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII
BRRO020035142017,2017-09-15,NA,NA,25,J.M-I -cum A.M-I
BRRO020035142017,2017-09-19,7,C.J.M. -cum- Sub-Judge-II,NA,NA
BRRO010075372019,2019-12-16,1,DISTRICT AND SESSIONS JUDGE,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV
BRRO010075372019,2020-01-06,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV,38,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XXI
BRRO010075372019,2020-02-28,38,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XXI,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV
BRRO010075372019,2022-10-11,9,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XV,33,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XVI
BRRO210000422016,2018-10-15,1,SDJM,5,"J.M 2nd Class,"
BRRO210000422016,2019-06-13,5,"J.M 2nd Class,",3,J.M 1st Class
BRRO210000422016,2021-11-15,3,J.M 1st Class,8,JM 2 Class
BRRO020020052016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO010022452019,2019-04-25,1,DISTRICT AND SESSIONS JUDGE,3,ADDITIONAL DISTRICT AND SESSIONS JUDGE-I
BRRO210016062018,2018-12-04,3,J.M 1st Class,4,J.M 1st Class
BRRO020084612016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO020084612016,2020-01-29,34,A.C.J.M.-V -cum- Sub Judge-XIII,18,Sub-Judge-IX -cum-A.C.J.M.
BRRO110004482016,2018-11-07,10,Sub judge-I cum ACJM-I,12,Sub Judge-II cum ACJM-II
BRRO110004482016,2020-12-18,12,Sub Judge-II cum ACJM-II,14,Subjudge-IV cum ACJM-IV
BRRO110004482016,2022-09-08,14,Subjudge-IV cum ACJM-IV,13,Subjudge-III cum ACJM-III
BRRO020005792021,2021-07-27,7,C.J.M. -cum- Sub-Judge-II,42,JM-IV
BRRO020005792021,2022-07-28,42,JM-IV,18,Sub-Judge-IX -cum-A.C.J.M.
BRBA020054942016,2017-05-04,11,A.C.J.M.-I -cum- Sub Judge-I -cum- A.S.J.-II,25,Sub-Judge-V cum A.C.J.M.-IV
BRBA020049212017,2020-02-18,10,C.J.M. -cum- Sub Judge-II -cum- A.S.J.-I,28,J.M. 1st Class (Presently Vacant)
BRBA020027512012,2019-07-11,11,A.C.J.M.-I -cum- Sub Judge-I -cum- A.S.J.-II,31,Judicial Magistrate 1st Class
BRBA020067422016,2020-12-17,NA,NA,25,Sub-Judge-V cum A.C.J.M.-IV
BRBA020067422016,2022-06-28,25,Sub-Judge-V cum A.C.J.M.-IV,19,Judicial Magistrate 1st Class
BRBA020059762015,2021-12-22,10,C.J.M. -cum- Sub Judge-II -cum- A.S.J.-I,35,Judicial Magistrate 2nd Class
BRBA020059762015,2022-05-07,35,Judicial Magistrate 2nd Class,28,Judicial Magistrate 1st Class
BRRO020018452018,2018-09-04,7,C.J.M. -cum- Sub-Judge-II,25,J.M-I -cum A.M-I
BRRO020018452018,2022-08-03,25,J.M-I -cum A.M-I,46,J.M-Ist Class
BRRO010010072015,2015-06-04,1,DISTRICT AND SESSIONS JUDGE,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII
BRRO010010072015,2017-11-14,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII,19,ADDITIONAL DISTRICT AND SESSIONS  JUDGE- IV
BRRO010010072015,2018-02-01,19,ADDITIONAL DISTRICT AND SESSIONS  JUDGE- IV,5,ADDITIONAL DISTRICT AND SESSIONS JUDGE-III
BRRO020030322016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO020030322016,2020-01-02,34,A.C.J.M.-V -cum- Sub Judge-XIII,23,Sub-Judge-IV -cum- A.C.J.M.
BRRO020086752016,2017-02-21,27,JM -3 cum AM-III (Vacant Court),34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO020086752016,2020-01-03,34,A.C.J.M.-V -cum- Sub Judge-XIII,23,Sub-Judge-IV -cum- A.C.J.M.
BRRO020045492016,2022-10-17,22,SUB JUDGE-VII -cum- A.C.J.M.,8,SUB JUDGE-I -CUM- A.C.J.M-I
BRNW020028642019,2022-11-28,35,JM 1st crt No. 5,39,J.M. 1st Court No. 8
BRRO020070312016,2016-11-20,28,J.M. 1st Class  (vacant court),19,A.C.J.M -II -cum-Sub-Judge-X
BRRO020045022016,2017-02-23,26,J.M. -cum- A.M.-II,34,A.C.J.M.-V -cum- Sub Judge-XIII
BRRO020045022016,2020-01-02,34,A.C.J.M.-V -cum- Sub Judge-XIII,23,Sub-Judge-IV -cum- A.C.J.M.
BRRO010051702018,2018-07-16,1,DISTRICT AND SESSIONS JUDGE,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII
BRRO010000812015,2015-03-31,1,DISTRICT AND SESSIONS JUDGE,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII
BRRO010000812015,2018-01-08,21,ADDITIONAL DISTRICT AND SESSIONS JUDGE-VII,19,ADDITIONAL DISTRICT AND SESSIONS  JUDGE- IV
BRRO010000812015,2019-11-20,19,ADDITIONAL DISTRICT AND SESSIONS  JUDGE- IV,6,ADDITIONAL DISTRICT AND SESSIONS JUDGE- VI
BRRO010000812015,2020-01-06,6,ADDITIONAL DISTRICT AND SESSIONS JUDGE- VI,33,ADDITIONAL DISTRICT AND SESSIONS JUDGE- XVI
BRRO010072212019,2021-07-28,1,DISTRICT AND SESSIONS JUDGE,28,ADDITIONAL DISTRICT AND SESSIONS JUDGE-XI
BRRO110007532016,2018-12-18,10,Sub judge-I cum ACJM-I,12,Sub Judge-II cum ACJM-II
BRRO110007532016,2020-05-20,12,Sub Judge-II cum ACJM-II,14,Subjudge-IV cum ACJM-IV
BRRO110007532016,2022-09-08,14,Subjudge-IV cum ACJM-IV,13,Subjudge-III cum ACJM-III
BRRO020045282016,2022-10-17,22,SUB JUDGE-VII -cum- A.C.J.M.,8,SUB JUDGE-I -CUM- A.C.J.M-I
BRRO020052852016,2017-02-21,27,JM -3 cum AM-III (Vacant Court),34,A.C.J.M.-V -cum- Sub Judge-XIII
BRNW020002842016,2019-12-05,8,CJM-Cum-Sub.J.IInd.,21,J.M. 1st  Crt No. 1
BRNW010035242018,2018-05-25,1,District and Sessions Judge,3,st ADJ
BRNW020066532018,2022-11-28,9,ACJM 1 cum SJ 1,41,J.M. 1st Court No. 13
BRNW020035872018,2019-03-28,8,CJM-Cum-Sub.J.IInd.,21,J.M. 1st  Crt No. 1
BRNW020035872018,2022-12-01,21,JM 1st Court No. 4,38,J.M. 1st Court No. 12
BRNW020000101992,2016-01-12,13,J.M.IstCumAdl.Munsf.VIth,25,J.M. 1st  Crt No. 1
BRNW020000101992,2016-03-30,25,J.M. 1st  Crt No. 1,13,J.M.IstCumAdl.Munsf.VIth
BRNW020000101992,2016-04-02,13,J.M.IstCumAdl.Munsf.VIth,25,J.M. 1st  Crt No. 1
BRNW020000101992,2017-02-09,NA,NA,26,ACJM2
BRNW020000101992,2017-10-03,26,ACJM2,25,J.M. 1st  Crt No. 1
BRNW020018102015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020018102015,2016-09-30,NA,NA,30,ACJM VI
BRNW020063582018,2019-05-13,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020034322021,2022-09-24,8,CJM-Cum-Sub.J.IInd.,9,ACJM 1 cum SJ 1
BRNW020034322021,2022-11-26,9,ACJM 1 cum SJ 1,8,CJM-Cum-Sub.J.IInd.
BRNW020006582017,2020-06-20,8,CJM-Cum-Sub.J.IInd.,35,JM 1st crt No. 5
BRNW020006582017,2022-12-12,35,JM 1st crt No. 5,39,J.M. 1st Court No. 8
BRNW020021262015,2020-07-02,8,CJM-Cum-Sub.J.IInd.,37,JM 1st  Crt No. 7
BRNW020021262015,2022-11-10,37,JM 1st  Crt No. 7,42,J.M. 1st Court No. 10
BRNW020007622007,2018-01-05,9,ACJM 1 cum SJ 1,8,CJM-Cum-Sub.J.IInd.
BRNW020007622007,2018-10-04,8,CJM-Cum-Sub.J.IInd.,9,ACJM 1 cum SJ 1
BRNW020045702021,2022-09-27,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020045702021,2022-11-09,30,ACJM VI,9,ACJM 1 cum SJ 1
BRNW020043212015,2019-05-22,8,CJM-Cum-Sub.J.IInd.,21,J.M. 1st  Crt No. 1
BRNW020043212015,2022-09-28,21,JM 1st Court No. 4,41,J.M. 1st Court No. 13
BRNW020006542011,2016-05-04,13,J.M.IstCumAdl.Munsf.VIth,24,J.M. 1st  Crt No. 1
BRNW020006542011,2016-09-30,NA,NA,30,ACJM VI
BRNW020005522011,2016-02-02,19,J.M. 2 Court No. 1,23,J.M. 1st  Crt No. 1
BRNW020005522011,2016-02-26,13,J.M.IstCumAdl.Munsf.VIth,19,J.M. 2 Court No. 1
BRNW020005522011,2018-08-07,23,J.M. 1st  Crt No. 1,25,J.M. 1st  Crt No. 1
BRNW020035902018,2019-03-28,8,CJM-Cum-Sub.J.IInd.,21,J.M. 1st  Crt No. 1
BRNW020035902018,2022-09-29,21,JM 1st Court No. 4,41,J.M. 1st Court No. 13
BRNW010048392019,2019-06-13,1,District and Sessions Judge,19,th ADJ
BRNW010048392019,2022-11-30,19,th ADJ,22,ADJ 12
BRNW020019462015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020019462015,2016-09-30,NA,NA,30,ACJM VI
UPSP010103282018,2018-12-21,1,District Judge,3,"Additional District Judge, C.R. No.3"
BRNW020028642019,2020-09-22,8,CJM-Cum-Sub.J.IInd.,35,JM 1st crt No. 5
BRNW020028182018,2019-04-22,29,ACJM5,30,ACJM VI
BRNW020028182018,2020-09-29,30,ACJM VI,9,ACJM 1 cum SJ 1
BRNW020056152018,2021-12-03,8,CJM-Cum-Sub.J.IInd.,21,J.M. 1st  Crt No. 1
BRNW020042922018,2022-11-10,8,CJM-Cum-Sub.J.IInd.,9,ACJM 1 cum SJ 1
BRNW020042532016,2020-06-27,8,CJM-Cum-Sub.J.IInd.,34,J.M. 1st  Crt No. 1
BRNW020001902019,2021-03-01,8,CJM-Cum-Sub.J.IInd.,37,JM 1st  Crt No. 7
BRNW020001902019,2022-11-11,37,JM 1st  Crt No. 7,42,J.M. 1st Court No. 10
BRNW020042272015,2016-04-12,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020042272015,2016-09-30,NA,NA,30,ACJM VI
BRNW020005722012,2015-08-11,13,J.M.IstCumAdl.Munsf.VIth,25,J.M. 1st  Crt No. 1
BRNW020005722012,2016-03-30,25,J.M. 1st  Crt No. 1,13,J.M.IstCumAdl.Munsf.VIth
BRNW020005722012,2016-05-02,13,J.M.IstCumAdl.Munsf.VIth,25,J.M. 1st  Crt No. 1
BRNW020005722012,2017-02-10,NA,NA,10,S.D.J.M
BRNW020005722012,2017-07-13,10,S.D.J.M,NA,NA
BRNW020005722012,2017-09-20,NA,NA,24,J.M. 1st  Crt No. 1
BRNW020005722012,2018-10-14,24,J.M. 1st  Crt No. 1,10,S.D.J.M
BRNW020029242016,2021-03-03,8,CJM-Cum-Sub.J.IInd.,35,JM 1st crt No. 5
BRNW020029242016,2022-11-05,35,JM 1st crt No. 5,39,J.M. 1st Court No. 8
BRNW020042892018,2019-06-07,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020042892018,2022-11-30,30,ACJM VI,38,J.M. 1st Court No. 12
BRNW020021142015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020021142015,2016-09-30,NA,NA,30,ACJM VI
BRNW020062932018,2020-06-04,9,ACJM 1 cum SJ 1,8,CJM-Cum-Sub.J.IInd.
BRNW020062932018,2022-09-06,8,CJM-Cum-Sub.J.IInd.,9,ACJM 1 cum SJ 1
BRNW020047462018,2019-05-16,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020028612019,2020-06-06,8,CJM-Cum-Sub.J.IInd.,25,J.M. 1st  Crt No. 3
BRNW020049512016,2020-09-22,8,CJM-Cum-Sub.J.IInd.,36,JM 1st crt No. 6
BRNW020049512016,2023-01-04,36,JM 1st crt No. 6,40,J.M. 1st  Court No. 9
BRNW010109222022,2022-10-17,1,District and Sessions Judge,22,ADJ 12
BRNW020035892018,2019-03-28,8,CJM-Cum-Sub.J.IInd.,25,J.M. 1st  Crt No. 1
BRNW020035892018,2021-06-02,25,J.M. 1st  Crt No. 3,24,J.M. 1st  Crt No. 2
BRNW020035892018,2021-06-02,24,J.M. 1st  Crt No. 2,25,J.M. 1st  Crt No. 3
BRNW020005782011,2016-01-12,13,J.M.IstCumAdl.Munsf.VIth,10,S.D.J.M
BRNW020005782011,2016-10-26,10,S.D.J.M,26,ACJM2
BRNW020067482016,2021-03-24,29,ACJM5,34,J.M. 1st  Crt No. 1
BRNW020003892008,2018-10-05,27,ACJM 1 cum SJ 1,9,ACJM 1 cum SJ 1
BRNW020003892008,2018-10-27,9,ACJM 1 cum SJ 1,NA,NA
BRNW020035882018,2019-03-28,8,CJM-Cum-Sub.J.IInd.,25,J.M. 1st  Crt No. 1
BRNW020035882018,2021-10-04,25,J.M. 1st  Crt No. 3,24,J.M. 1st  Crt No. 2
BRNW020035882018,2022-01-12,24,J.M. 1st  Crt No. 2,25,J.M. 1st  Crt No. 3
BRNW010049052019,2019-06-15,1,District and Sessions Judge,3,st ADJ
BRNW020018092015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020018092015,2016-09-30,NA,NA,30,ACJM VI
BRNW020018112015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020018112015,2016-09-30,NA,NA,30,ACJM VI
BRNW020034422019,2020-09-26,8,CJM-Cum-Sub.J.IInd.,36,JM 1st crt No. 6
BRBA020023852015,2016-03-18,NA,NA,11,A.C.J.M.-I -cum- Sub Judge-I -cum- A.S.J.-II
BRBA020023852015,2017-04-05,11,A.C.J.M.-I -cum- Sub Judge-I -cum- A.S.J.-II,10,C.J.M. -cum- Sub Judge-II -cum- A.S.J.-I
BRNW020043222015,2018-02-03,8,CJM-Cum-Sub.J.IInd.,25,J.M. 1st  Crt No. 1
BRNW020006592017,2020-07-02,8,CJM-Cum-Sub.J.IInd.,34,J.M. 1st  Crt No. 1
BRNW010005242019,2019-01-19,1,District and Sessions Judge,3,st ADJ
BRNW020006052007,2016-12-21,9,ACJM 1 cum SJ 1,32,J.M. 2 Court No. 1
BRNW020006052007,2017-05-01,NA,NA,25,J.M. 1st  Crt No. 1
BRNW020035922018,2019-05-10,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020047052016,2020-08-12,8,CJM-Cum-Sub.J.IInd.,35,JM 1st crt No. 5
BRNW020047052016,2022-11-01,35,JM 1st crt No. 5,39,J.M. 1st Court No. 8
BRNW020003062017,2019-12-05,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW010005482019,2019-01-29,1,District and Sessions Judge,3,st ADJ
BRNW020018072015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020018072015,2016-09-30,NA,NA,30,ACJM VI
BRNW020047072016,2019-02-13,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020006922012,2015-10-10,13,J.M.IstCumAdl.Munsf.VIth,26,ACJM2
BRNW020006922012,2017-07-15,26,CJM DIVISION,NA,DJ Division
BRNW020005772016,2016-01-30,NA,NA,8,CJM-Cum-Sub.J.IInd.
BRNW020005772016,2018-04-03,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020005772016,2021-02-01,24,J.M. 1st  Crt No. 2,21,J.M. 1st  Crt No. 1
BRNW020005772016,2022-11-14,21,JM 1st Court No. 4,43,J.M. 1st Court No. 11
BRNW020008262009,2017-08-08,9,ACJM 1 cum SJ 1,25,J.M. 1st  Crt No. 1
BRNW020008262009,2019-05-22,25,J.M. 1st  Crt No. 3,36,JM 1st crt No. 6
BRNW020008262009,2023-01-04,36,JM 1st crt No. 6,40,J.M. 1st  Court No. 9
BRNW020018062015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020018062015,2016-09-30,NA,NA,30,ACJM VI
BRNW020035932018,2019-03-28,8,CJM-Cum-Sub.J.IInd.,21,J.M. 1st  Crt No. 1
BRNW020035932018,2022-09-28,21,JM 1st Court No. 4,41,J.M. 1st Court No. 13
BRNW020032422018,2019-04-02,28,ACJM4,9,ACJM 1 cum SJ 1
BRNW020019452015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020019452015,2016-09-30,NA,NA,30,ACJM VI
BRNW020004632015,2016-02-26,8,CJM-Cum-Sub.J.IInd.,24,J.M. 1st  Crt No. 1
BRNW020004632015,2016-09-30,NA,NA,30,ACJM VI
BRNW020002872016,2016-09-23,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW020002862016,2016-09-23,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW010054582018,2018-08-03,1,District and Sessions Judge,3,st ADJ
BRNW020021242015,2020-06-20,8,CJM-Cum-Sub.J.IInd.,35,JM 1st crt No. 5
BRNW020043122018,2020-09-08,8,CJM-Cum-Sub.J.IInd.,37,JM 1st  Crt No. 7
BRNW020043122018,2022-11-15,37,JM 1st  Crt No. 7,42,J.M. 1st Court No. 10
BRNW020006942012,2015-10-10,13,J.M.IstCumAdl.Munsf.VIth,26,ACJM2
BRNW020006942012,2016-09-27,26,ACJM2,NA,NA
BRNW020006942012,2016-09-30,NA,NA,30,ACJM VI
BRNW020006942012,2018-04-09,30,ACJM VI,8,CJM-Cum-Sub.J.IInd.
BRNW020006942012,2018-10-01,8,CJM-Cum-Sub.J.IInd.,30,ACJM VI
BRNW010103242018,2019-01-02,1,District and Sessions Judge,3,st ADJ
BRNW020063192016,2019-06-15,26,ACJM2,34,J.M. 1st  Crt No. 1
BRNW020034332021,2022-09-24,8,CJM-Cum-Sub.J.IInd.,9,ACJM 1 cum SJ 1
BRNW020034332021,2022-11-26,9,ACJM 1 cum SJ 1,8,CJM-Cum-Sub.J.IInd.
BRNW020029532017,2023-01-04,8,CJM-Cum-Sub.J.IInd.,40,J.M. 1st  Court No. 9
BRNW020063012016,2017-09-01,NA,NA,24,J.M. 1st  Crt No. 1
BRNW020063012016,2021-05-27,24,J.M. 1st  Crt No. 2,37,JM 1st  Crt No. 7
BRNW020063012016,2022-10-31,37,JM 1st  Crt No. 7,42,J.M. 1st Court No. 10
BRNW020005932012,2016-01-12,13,J.M.IstCumAdl.Munsf.VIth,24,J.M. 1st  Crt No. 1
BRNW020005932012,2016-02-02,24,J.M. 1st  Crt No. 1,25,J.M. 1st  Crt No. 1
BRNW020005932012,2016-03-30,25,J.M. 1st  Crt No. 1,13,J.M.IstCumAdl.Munsf.VIth
BRNW020005932012,2016-09-08,NA,NA,25,J.M. 1st  Crt No. 1
BRNW020005932012,2017-02-10,NA,NA,10,S.D.J.M
BRNW020006602017,2020-08-13,8,CJM-Cum-Sub.J.IInd.,37,JM 1st  Crt No. 7
BRNW020035912018,2019-03-28,8,CJM-Cum-Sub.J.IInd.,25,J.M. 1st  Crt No. 1
BRNW020035912018,2021-07-12,25,J.M. 1st  Crt No. 3,24,J.M. 1st  Crt No. 2
BRNW020035912018,2022-03-07,24,J.M. 1st  Crt No. 2,25,J.M. 1st  Crt No. 3
BRNW020002972002,2017-03-22,9,ACJM 1 cum SJ 1,32,J.M. 2 Court No. 1
BRNW020002972002,2017-05-01,NA,NA,25,J.M. 1st  Crt No. 1
BRNW020049492016,2021-04-07,8,CJM-Cum-Sub.J.IInd.,25,J.M. 1st  Crt No. 3
BREC020059892018,2019-02-16,11,C.J.M,64,JM 1st Class
BREC020059892018,2022-07-14,64,JM 1st Class,77,"J.M 1st Class,Sadar"
BREC020136612020,2022-08-23,22,S.D.J.M Raxaul,82,"J.M 1st Class, Raxaul"
BREC020134132017,2018-07-03,11,C.J.M,50,Sub Judge-6-cum-ACJM
BREC020087502019,2020-11-06,49,Sub Judge-5-cum-ACJM,64,JM 1st Class
BREC020087502019,2021-07-05,64,JM 1st Class,NA,NA
BREC020087502019,2021-12-09,NA,NA,85,J.M 2nd CLASS
BREC020108462015,2021-12-09,59,Sub Judge-12-cum-ACJM,74,"th J.M  1st Class, Motihari Sadar"
BREC020108462015,2022-12-15,74,"th J.M  1st Class, Motihari Sadar",91,"J.M 1st Class,Sadar"
BREC020057242018,2019-12-18,56,Sub Judge-11-cum-ACJM,47,Sub judge 3rd
BREC020057242018,2020-10-13,47,Sub judge 3rd,71,"th J.M  1st Class, Motihari Sadar"
BREC020057242018,2023-01-17,71,"th J.M  1st Class, Motihari Sadar",78,"J.M 1st Class,Sadar"
BREC020124792019,2021-06-30,11,C.J.M,69,th J.M  1st Class Motihari Sadar
BREC020276002016,2021-07-29,NA,NA,75,"th J.M  1st Class, Motihari Sadar"
BREC020053392018,2018-06-05,11,C.J.M,49,Sub Judge-5-cum-ACJM
BREC020132572018,2022-07-06,11,C.J.M,73,"th J.M  1st Class, Motihari Sadar"
BREC010091662016,2021-12-21,3,st A.D.J,6,rd A.D.J
BREC020091812018,2018-08-29,11,C.J.M,64,JM 1st Class
BREC020091812018,2022-06-16,64,JM 1st Class,76,"J.M 1st Class,Sadar"
