"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"Dharmendra Yadav","Elected","18-May-09","In office","Uttar Pradesh","Badaun","Samajwadi Party","Male","Post Graduate","M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh","35","19","0","973","72%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,1052854,4629445
"Dhruva Narayana Rangaswamy","Elected","18-May-09","In office","Karnataka","Chamrajanagar","Indian National Congress","Male","Post Graduate","M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore","52","71","0","666","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,11300000,5436443
"Dilip Kumar Mansukhlal Gandhi","Elected","18-May-09","In office","Maharashtra","Ahmednagar","Bharatiya Janata Party","Male","Matric","S.S.C.; Educated at Pune University, Pune (Maharashtra)","62","48","0","278","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,2334140,3055916
"Dinesh Chandra Yadav","Elected","18-May-09","In office","Bihar","Khagaria","Janata Dal (United)","Male","Diploma Course","D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar","63","50","0","438","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,2375000,1935253
"Dip Gogoi","Elected","18-May-09","In office","Assam","Kaliabor","Indian National Congress","Male","Graduate","B.Sc.","62","0","0","0","79%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,3377620,790010
"Dudhgaonkar Ganeshrao Nagorao","Elected","18-May-09","In office","Maharashtra","Parbhani","Shiv Sena","Male","Graduate","B.A., LL.B.","68","45","0","418","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,80000,1
"Dushyant Singh","Elected","18-May-09","In office","Rajasthan","Jhalawar-Baran","Bharatiya Janata Party","Male","Post Graduate","B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ","40","31","0","351","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,45800000,18300000
"E. T. Mohammed Basheer","Elected","18-May-09","In office","Kerala","Ponnani","Muslim League Kerala State Committee","Male","Inter/ Higher Secondary","","67","53","0","158","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,NA,NA
"E.G. Sugavanam","Elected","18-May-09","In office","Tamil Nadu","Krisnagiri","Dravida Munnetra Kazhagam","Male","Diploma Course","Diploma in Pharmacy; Educated at K.L.E. Society, Nijalingappa College, Bangalore","56","25","0","907","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"Eknath Mahadeo Gaikwad","Elected","18-May-09","In office","Maharashtra","Mumbai-South-Central","Indian National Congress","Male","Under Graduate","","74","11","0","1020","98%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,1192000,3038576
"Feroze Varun Gandhi","Elected","18-May-09","In office","Uttar Pradesh","Pilibhit","Bharatiya Janata Party","Male","Graduate","B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.","33","2","2","641","63%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,32100000,17100000
"Francisco Sardinha","Elected","18-May-09","In office","Goa","South Goa","Indian National Congress","Male","Graduate","B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ","67","13","1","287","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.5","0.5","214","88%",0,20500000,5991400
"G.V. Harsha Kumar","Elected","18-May-09","In office","Andhra Pradesh","Amalapuram","Indian National Congress","Male","Post Graduate","M.Sc. (Marine Geology); Educated at Andhra University, Waljair, Andhra Pradesh","54","3","0","34","77%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,6600000,639000
"Gaddam Vivekanand","Elected","18-May-09","In office","Andhra Pradesh","Peddapalle","Indian National Congress","Male","Graduate","M.B.B.S.; Educated at Osmania Medical College, Hyderabad, Andhra Pradesh","56","11","0","57","69%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,4.9e+08,2.4e+08
"Gajanan Dharmshi Babar","Elected","18-May-09","In office","Maharashtra","Maval","Shiv Sena","Male","Under Matric","","70","24","0","1176","73%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,58300000,9531434
"Gajendra Singh Rajukhedi","Elected","18-May-09","In office","Madhya Pradesh","Dhar","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh","49","2","0","125","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,NA,423983
"Ganesh Singh","Elected","18-May-09","In office","Madhya Pradesh","Satna","Bharatiya Janata Party","Male","Post Graduate","M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh","51","145","0","620","82%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",1,2475000,6597032
"Gangasandra Siddappa Basavaraj","Elected","18-May-09","In office","Karnataka","Tumkur","Bharatiya Janata Party","Male","Graduate","B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka","72","2","2","161","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,NA,2078219
"Ghansyam Anuragi","Elected","18-May-09","In office","Uttar Pradesh","Jalaun","Samajwadi Party","Male","Post Graduate","M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh","41","52","0","304","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,2650000,2715842
"Gobinda Chandra Naskar","Elected","18-May-09","In office","West Bengal","Bongaon","All India Trinamool Congress","Male","Post Graduate","M.A., B.T.; Educated at Jadavpur University (JU) ","72","8","0","1","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,365700,1499314
"Gopal Singh Shekhawat","Elected","18-May-09","In office","Rajasthan","Rajsamand","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Rajasthan University","63","25","0","115","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,2374250,1861816
"Gorakh Prasad Jaiswal","Elected","18-May-09","In office","Uttar Pradesh","Deoria","Bahujan Samaj Party","Male","Matric","Educated at Town Hindi High School, Golaghat, Assam","75","37","0","722","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,15100000,5332602
"Goraknath Pandey","Elected","18-May-09","In office","Uttar Pradesh","Bhadohi","Bahujan Samaj Party","Male","Post Graduate","M.A., B.Ed.; Educated at Gyanpur P.G. College, Bhadohi, Agra University, Uttar Pradesh","62","97","0","139","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,2008813
"Govind Prasad Mishra","Elected","18-May-09","In office","Madhya Pradesh","Sidhi","Bharatiya Janata Party","Male","Graduate","B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh","64","41","0","176","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,4500000,687424
"Gowdar Mallikarjunappa Siddeswara","Elected","18-May-09","In office","Karnataka","Davanagere","Bharatiya Janata Party","Male","Matric","Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ","61","15","0","888","57%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,NA,NA
"Gurudas Dasgupta","Elected","18-May-09","In office","West Bengal","Ghatal","Communist Party of India","Male","Post Graduate","M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta","77","94","0","505","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,650000,3743393
"H.D. Devegowda","Elected","18-May-09","In office","Karnataka","Hassan","Janata Dal (Secular)","Male","Diploma Course","D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka","80","28","0","0","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,13300000,6318662
